id	sentiment	review
"3862_4"	0	"I just watched it. A couple of laughs, but nothing to write home about. Jason Lee looked like he was having fun. The (long) DVD gag reel consists almost solely of him having fits of uncontrollable laughter. Selma Blair seemed to be punching a time clock, but then again, her character was supposed to be a stick in the mud, so \"well done\" I guess? Jim Brolin was surprisingly funny. (Being married to Babs can't be a picnic.) The soundtrack was hip, and eclectic. Larry Miller, who played Julia Stiles father (hilariously), in 10 Things I Hate About You is funny here as well. He's great, but the best aspect of this movie was the casting of Julia Stiles. I could spend two hours watching her fold laundry, and I feel like I just did."
"674_10"	1	"While to most people watching the movie, this will be of little interest, but out of the many hundreds of movies dealing with magic and the occult in one form or another, this one is probably the best in many ways.<br /><br />From The Golem to The Craft the subject seems to be of endless interest to the movie industry. The majority of movies which touch on it in any way do so childishly (for example \"Witchboard\", a true piece of utter garbage in every way) either taking the transcendental elements as cheap excuses for cheesy special effects or cardboard cutout villians (cf \"Warlock\"). More frequently the subject comes up in an hysterical religious context (in the various Revelations-oriented movies, the antichrist is inevitably an advocate of some kind of new-age style practice). Rarely, a movie seems to show at least some passing experience with magic as it is practiced in real life, but the presentation of the occult in such movies can at best be described as allegorical and not literal, or symbolic, or ... just not quite right.<br /><br />I watched this movie again after many years tonight. I had seen it before on VHS; it is a dark, moody piece, and after watching it on DVD, I would say if you have any intention to watch this movie, watch it on DVD, don't watch it on VHS.<br /><br />The darkness and moodiness are overpowering in VHS but in DVD the movie takes on a very different tone. I think Weir pushed the dark aspects intentionally for style, but when the movie is converted to the lower color medium of VHS this goes over the edge. DVD brings the movie to life again and I saw it differently.<br /><br />Anyway, seeing it as if for the first time, I realized that the treatment of magic is extremely good in this movie. It's difficult to go into all the reasons why, I don't care to take the time to do so.<br /><br />For anybody who's curious, anyway, if you want to see what it is like in real life, this movie is just very right on countless levels.<br /><br />And for anybody who isn't, you really wasted a lot of time reading to this point."
"8828_10"	1	"I was so glad I came across this short film. I'm always so disappointed that short films are hard to come across, so when I saw this and saw that it was nominated for the Live Action Short Film at the Academy Awards, I was so pleased that I actually had a film that I was rooting for.<br /><br />The plot is pretty simple, the director, writer, and star Nacho Vigalondo tried coming up with a reason people would suddenly break out into a song and dance number like they do in movie musicals. The result is extremely entertaining and the song is actually really catchy.<br /><br />It's a well made short film, well edited and the actors all do a great job. And the last shot of the film is perfect.<br /><br />I highly recommend this film."
"2963_8"	1	"The creators of south park in their own film here, this is a brilliant film with a huge entertainment factor. If you like Naked Gun films and are not young and not too mature or serious on your humor, you'll love this."
"2483_1"	0	"Unspeakably discombobulated turkey, a mix of anti-Nazi musical (!!), pre-war Americana and Agatha Christie whodunit spoof with one big, big problem: it's deadly unfunny. Besides the single-digit I.Q. plot and dialog, the most amazing aspect of \"Lady...\" is the berserk casting. Gene Wilder (star AND co-writer) tries hard at it all: he plays a romantic lead (with his looks!! and his age!! he and Woody Allen should start a club for clueless, mirrorless ageing comedians), and he tries to be moving and funny and poignant and smart, and tries to sing and dance, and succeeds in NONE!! A looong shot from his good old days with Mel Brooks.<br /><br />For a while I thought I was having a myopia fit, because everybody in the movie keeps saying Cherry Jones is this pretty hot chick, and that Michael Cumpsty is this impossibly handsome stallion!! The guy who plays Claire Bloom's male secretary is a bespectacled balding thin actor as sexy as a chair and is the object of passion of the two leading ladies!! Mike Starr's over-the-top acting as the most incompetent, phoniest cop you EVER saw deserves to rank among the 10 most abhorrent performances in recent film history. The saddest note is to see wonderful Claire Bloom and Barbara Sukowa completely miscast and offensively wasted. At least I hope both stars payed their bills back home (and subsequently fired their agents) with this flop. No wonder acting prodigy Sukowa returned to Germany after she saw what Hollywood had in store for her!!<br /><br />If you want to see how to accomplish a really bad film out of a really bad script with a berserk casting director, study this one - otherwise stay away!!! - 1/10"
"9159_1"	0	"If an auteur gives himself 2 credits before the main title and about 15 more credits before the movie starts, and the first shot shows the auteur rolling around on a bed in lycra bike shorts, it won't be a surprise to observe that said auteur has the kind of body that should never be seen in spandex. The kind of look that might be useful to a homosexual aversion therapist.<br /><br />Others have given this thing the dishing it deserves. For me the most pitiable moment came when the trip from LA was signified by a plane landing at what appeared to be LAX; and the return was signified by a shot of a Fedex cargo plane."
"1073_2"	0	"I can't believe that so much talent can be wasted in one movie! The Gingerbread Man starts of on the right foot, and manages to build up some great expectations for the ending. But at some point the movie turns into one of the worst stories I've ever wasted my time on. It's just so unbelievably how the bewitched Mallory Doss manages to pull Kenneth Branagh's character around by his nose. The movies climax is as uninteresting and flat as a beer, which has been left out in the sun too long. The Gingerbread Man is probably the worst Grisham-movie ever and this isn't changed by the fact that talented stars crowd the movie. Don't waste your time here!"
"6684_1"	0	"This should be re-titled \"The Curious Case Of The Unscrupulous Filmmakers Who Misrepresented A Non-horror Snorer As A Shock Film.\" It's one long, boring tale of a fraternity hazing, a gag so transparent that even Flounder from Delta House could see through it. Jeff East, an actor in the dues-paying stage, can be forgiven for taking any work he could get. The same can't be said for Charles Martin Smith, who formerly acted for such cinematic heavyweights as George Lucas and Sam Peckinpah. Once available on tape but, thankfully, not out on DVD. Misrepresented garbage like this belongs in a landfill and nowhere else."
"5923_7"	1	"A woman who hates cats (Alice Krige) and her son (Brian Krause) have moved into a small town, and must deal with a mean teacher (Glenn Shadix), their incestuous relationship, a lovely girl (Mädchen Amick) and one hell of a big secret.<br /><br />Okay, so technically, this is a \"bad film\". But, who cares? It's so very fun! <br /><br />Impossible things (involving corn) happen, people freak out about kitty cats, there's bad one-liners, there's too much cheese to handle!<br /><br />So, yes. You will enjoy this. A lot. It won't move you, touch you, scare you, or thrill you in any way, but it will keep you entertained and laughing!"
"6352_2"	0	"I've always been a great fan of Woody Allen and always will be for most of what he did in the past, but only a blind lover could ignore how dull, meaningless, pretentious and most of all horrendously acted this movie is. A vacuous mental masturbation based on inconsistent grounds. And what a disastrous idea to artificially recreate a presumed \"actor Allen-clone\", that is putting into Will Farrell's mouth and gestures what Allen would have done in Farrell's place had he been 30 years younger. The outcome was obviously ludicrous. And not to speak of the dialogues... what was intended to be philosophical reflections turned into an involuntary mockery of intellectual pondering, unaware of its comic effect. How sad..."
