id	sentiment	review
"8263_4"	0	"'Mojo' is a story of fifties London, a world of budding rock stars, violence and forced homosexuality. 'Mojo' uses a technique for shooting the 1950s often seen in films that stresses the physical differences to our own time but also represents dialogue in a highly exaggerated fashion (owing much to the way that speech was represented in films made in that period); I have no idea if people actually spoke like this outside of the movies, but no films made today and set in contemporary times use such stylised language. It's as if the stilted discourse of 1950s screenwriters serves a common shorthand for a past that seems, in consequence, a very distant country indeed; and therefore stresses the particular, rather than the universal, in the story. 'Mojo' features a strong performance from Ian Hart and annoying ones from Aiden Gillan and Ewan Bremner, the latter still struggling to build a post-'Trainspotting' career; but feels like a period piece, a modern film incomprehensibly structured in an outdated idiom. Rather dull, actually."
"133_2"	0	"Well the reason for seeing it in the cinema was that it was a sneak preview, else I would never have seen this terrible teenage slasher movie. I mean haven't we had enough of this yet? Scream and Scary Movie at least did not take them self serious! The plot sucks, and the acting is the worst I've seen. (Only Godzilla can compare, which is also the only movie that competes in being the worst I've seen in the cinema with this one.)<br /><br />There is so many plot holes in the story, and the girls are so alike, that you don't even now who has been killed, and who has not. (and you don't care.) The only of them I knew in advance was Denise, and she was the most talent less actress I have ever seen in this bad excuse for a movie.<br /><br />Stay as far away from this movie as possible. (2/10)"
"4131_1"	0	"This movie should be nominated for a new genre: Complete Mess! Except for a few chuckles and one or two scenes of gore, this movie is a complete waste of time. Calling it \"Campy\" doesn't even cut it. \"Campy\" implies fun which this movie was not. You spend the first half of the movie thinking \"Its got to get better, right?\". In fairness, it does, at the very end when its finally explained who the \"brother/sister\" team are and what they want but by then, you hardly care anymore because you've spend the entire second half of the movie wondering exactly what did Mr. Onorati & Ms. Pacula do to tick someone off THIS badly to be stuck in such a horrible movie.<br /><br />"
"4062_1"	0	"Few films have left me with such a feeling of unease, and this is not a compliment. Since I saw it in a theater (How it ended there I can only wonder) I was subjected to 90 mn of hateful, derivative garbage, the main impression being a bit like this other sick-o movie \"Don't answer the phone\" - but worse. The nastiness of it all, rape and all, is shown without any distance (unlike strong stuff like \"Last house on the left\") and utter contempt for the (perfect ?) victims and everybody involved, leaving the viewer to be treated as a sadistic voyeur. At the end I felt like taking a shower. No credits to the director"
"795_8"	1	"Too bad a couple of comments before me don't know the facts of this case. It is based on actual events, a highly publicized disappearance and murder case taking place in the Wilmington, DE/Philadelphia PA region from '96 through 2000. I have to admit I was highly skeptical of how Hollywood would dramatize the actual history and events and was actually quite impressed on how close they stayed to what was constantly reported on local newscasts and Philadelphia Inquirer news stories throughout the time period. Of course I immediately pointed out that the actress (who I really like in Cold Case) who played Fahey looked nothing like her (Anne Marie was actually prettier). I have to admit though that Mark Harmon really nailed the type of personality that was revealed as Capano's and the behavior that Capano exhibited throughout this period. Details of the case were right on...no deviations of dramatic effect...even down to the carpet, gun, furniture, and cooler. In conclusion, I also wanted to add that I have met Tom Carper many times at various functions (a good man, despite being a politician) and I am so glad that he pulled the strings in the Federal realm necessary to solve this heinous crime. Guys like Capano are real and it was great to see him finally put behind bars."
"9255_10"	1	"If you want a fun romp with loads of subtle humor, then you will enjoy this flick.<br /><br />I don't understand why anyone wouldn't enjoy this one. Take it for what it is: a vehicle for Dennis Hopper to mess with your head and make you laugh. It ain't Shakespeare, but it is well done. Ericka Eleniak is absolutely beautiful and holds her own in this one - Better than any episode of Baywatch - and shows a knack for subtle humor. Too bad she hasn't had many opportunities to expand on that.<br /><br />Tom Berenger fits his role of \"real Navy\" perfectly and William McNamara does a solid job as a hustler.<br /><br />Throw in a walk-on by Hopper in the middle of the chase for \"the Cherry on this Sundae\" and you've got a movie that kept my attention and kept me laughing. I bought this one as soon as it was available.<br /><br />Brain-candy."
"3055_9"	1	"In his first go as a Hollywood director, Henry Brommell whips an enthralling yarn that is all of penetrating relatable marital issues with melancholic authenticity, and lacing such with an equally absorbing subplot of a father-son hit-man business. The film is directed astutely and consists of a wonderfully put together cast as well as a swift, family-conscious screenplay (also by Brommell) that brings life to an otherwise fatigued genre. As a bonus, 'Panic' delivers subtle, acerbic humoran unexpected, undeniably charming, and very welcome surprisethrough its bumbling, unsure-of-himself, low-key star, whose ever-cool state is enticing, especially given his line of work.<br /><br />The forever-great William H. Macy again captures our hearts as Alex, a unhappy, torn, middle-aged husband and father who finds solace in the most dubious of persons: a young, attractive, equally-messed-up 23-year-old named Sarah (Neve Campbell), whom he meets in the waiting-room at a psychologist's office, where he awaits the therapy of Dr. Josh Parks (John Ritter) to discuss his growing eagerness to quit the family business that his father (Donald Sutherland) built. Alex, whose lust to lead a new life is obstructed by the fear of disappointing his dictating father, strikes an unwise fancy for Sarah, which ultimately leads him to understand the essence and irrefutable responsibility of being a husband to his wife and, more importantly to him, a good father to his six-year-old son, Sammy (played enthusiastically by the endearing David Dorfman).<br /><br />Henry Brommell's brilliant 'Panic' is something of a rarity in Hollywood seldom seen (with the exception of 2002's 'Road to Perdition') since its conception in 2000it weaves two conflicting genres (organized-crime, family drama) into a fascinating, warm hunk of movie-viewing that is evenly strong in either directionand it's one that will maintain its exceptional, infrequent caliber and gleaming sincerity for ages to come."
"11102_4"	0	"I don't know why, but i thought i've seen this movie before. Maybe it was the name, maybe it was the way poster looked, i don't know. Anyway, it was quite promising in the beginning. And even throughout the whole feature there were some bright moments. Maybe its because i'm not a huge fan of the horrors, and i don't watch them a lot, but this one actually looked fresh sometimes. But the rest of it is not so good. Laughable at times. The movie is slow paced, sometimes you will get so bored you'd forget what was the story about. Characters are not great either. All of them. The butcher is OK, seems creepy and crazy enough. Although i didn't get what were those weird looking things on his chest (that whole scene just looked fake and kind of out-of-the-blue), and why he was collecting those in jars at home? The main lead is plain. His character is really hard to believe in, and very undeveloped. But i guess thats scenarists fault. Like why he cried when he was taking pictures of his girlfriend? Side cast is bad too. But the main thing i hated in this movie was the girl. My god, when will women in horror movies have any brains? Its ridiculous. The girl finds out that a maniac took her boyfriends camera, tries going to police, that fails, and then she thinks of the best idea ever. Why don't we just go and take it! I know where the maniac lives! Yup! Thats swell! And then look for the camera in the bathroom! Why not? And then walk in the room, see a bag that was not there before, and just have a look inside. Maybe camera is there? Not there. But loads of interesting stuff. Shiny. Mmmm. To realize that bag means that the butcher came back is too hard for her tiny tiny brain. Then of course the never ending \"falling while running away\" trick, that really made it look bad. Then, to put the final nail into the character, in the end of the movie, she walks into the wagon FULL with dead bodies hanging feet up, screams \"Noooo\" like she just ripped her Gucci bag, and walks further into the wagon... Jeez. Come on. No one else thinks its just, well, stupid? Just awful. If her character wasn't so bad, maybe the movie would get another star or two from me. And i would even forgive MMT characters that can take a hit in the head with a steel hammer (that dude in the train who the conductor killed), butcher vests that can protect from bullets, weird and cheap looking monsters in the end (i didn't read Clive Barkers novel, so i have no idea where those monsters came from), the fact that no one cared that hundreds (judging on the skeletons in the dungeon) disappeared in the city, and main character that didn't bleed to death when he got his tongue ripped out (he barely noticed it i guess). Oh, and the predictable ending. Damn, i knew the ending half way in, its just disappointing. The only reason i'm still giving some credit to the makers, is that the movie in general looks better than most of the horrors i've watched past few months. Visual style is nice, some shots were really nice and good CGI that made the killings look really brutal. (although blood didn't look real at all) I guess some people will enjoy it, some, like me, will watch it if there is nothing else to watch, some will absolutely hate it."
"8237_1"	0	"How, in the name of all that's holy, did this film ever get distribution? It looks as if it has been shot on someone's mobile phone and takes the screaming girl victim scenario to whole new depths. They literally scream for the full 90 minutes of the movie. And that's all they do. There is no plot, no tension, no characters, and not a lot of acting. Just screaming and more screaming.<br /><br />I gave up after fifteen minutes and fast-wound through it to see if anything happened. It doesn't - except for screaming, of course. Odlly enough, the act of going through it on fast forward highlights another problem - there is no camera-work to speak of. Every shot looks like every other shot - middle distance, one angle, dull, dull, DULL.<br /><br />It's not so bad it's good. It's just plain bad."
"7073_3"	0	"We have an average family. Dad's a famous rapper, we have the \"rebelious teenage daughter\", the adopted white kid, and the cute little kid. And we have careless housemaid, what show has had a housemaid like that? Do we have a messed-up Brady Bunch? Yay! When it first came out I thought it was really cool, mostly because I was young. The music was bad. The raps were so bad and they were too g-rated. All of his raps were about his family and friends and problems. The dad was kind of the \"Danny from Full House\" type of dad. Always gave the advice out. But he wasn't a clean freak. They had a house-keeper for that. Remember? The plots were basically Lil' Romeo was in trouble of some sort, or... not that's it. Oh and maybe some preteen drama. Yeah that stuff is good. Not really. But its still a good show for kids. But Nikelodean could do better."
"11225_3"	0	"This documentary is a reenactment of the last few years of Betty Page's(Paige Richards) career. The Tennessee tease was the most recognizable pin-up queen in history. Her most memorable work came in the 1950's and was fetish photos, bondage and cat-fight \"girly flicks\". Irving Klaw(Dukey Flyswatter)at his Movie Star News instructed Betty on what to do in front of the camera. There was no nudity in the famous photos or \"stag films\", but nonetheless, Klaw was charged with distributing obscene materials and was ordered to destroy them to avoid prosecution. It is no surprise that Betty had a cult following at the height of her career. The girl-next-door with jet black hair, blue eyes and an hour glass figure dressed in fetish gear or not would mesmerize for decades. After all, it has been said that she was photographed more than Marilyn Monroe and second only to the most photographed image in the world, Elvis Presley. Betty Page would disappear and devote her last years to religion. This movie actually could have been a lot better; but good enough to hold interest.<br /><br />Miss Richards is stunning in her own right. Bra, panties, garter belt and hose do not hurt her image in the least. Also in the cast: Jaimie Henkin, Jana Strain, Emily Marilyn and Julie Simone. Be advised this movie can change your heart rate."
"1025_8"	1	"My rating refers to the first 4 Seasons of Stargate SG-1 which are wonderfully fresh, creative and addicting. When the cast stepped through the gate, you never knew what lay on the other side! Starting around Season 5, the show took a different focus - still good, but different.<br /><br />The series follows the adventures of a team of humans (and one alien) who regularly venture into a planetary transport device called the \"Stargate\". The backstory of the series is based on the characters and events of the movie \"Stargate\" in which the device is discovered during an archaeological dig in Egypt.<br /><br />The episodes are light (innocent and easy to watch) and very creative. Many of the inventive stories could easily have been made into great sci-fi movies of their own. What happens next was always unpredictable.<br /><br />The characters on which the show rests are also well-defined and brilliantly performed. Their tone is serious, but the dialog is flowered with incredible wit and humor. They are simply fun to watch.<br /><br />Starting somewhere around Season 5, the series started to evolve into a continuing storyline based on fighting a single foe (the Goa'uld, then the Ori). The plots become more complex (a lot more political/strategic oriented) and interdependent. The characters were still as great as ever but the show was different in nature.<br /><br />One thing that must be mentioned is to watch the episodes that commemorated the 100th and 200th episodes. They are simply can't-miss shows. They exhibit the creative and wildly humorous genius that carried the series through 10 seasons.<br /><br />If you are a sci-fi fan, watch a few episodes of the first 4 Seasons and you'll likely be hooked. If you like evolving story lines between two opposing sides, you have 10 seasons of shows to look forward to."
